id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query,has_phone,has_website,domain_valid,rating_score,review_density,score,segment
ChIJZ2_vKX615JQRODdDTIT5Gt8,https://www.google.com/maps/place/?q=place_id:ChIJZ2_vKX615JQRODdDTIT5Gt8,Fênix Marketing 360º - Brasil,Agência de Marketing,"Ed. Carde Dien - R. Rui Barbosa, 1510 - Passo dos Fortes, Chapecó - SC, 89805-108",(49) 99133-5898,+55 49 99133-5898,agenciafenix360.com.br,http://www.agenciafenix360.com.br/,"-27.0907357,-52.614380999999995",4.9,8,Agencias de publicidade em Chapeco SC,True,True,True,10.7664,0.1111,58.0,medium
ChIJudZPuia15JQR5Cg6NF1xmtY,https://www.google.com/maps/place/?q=place_id:ChIJudZPuia15JQR5Cg6NF1xmtY,Gm Digital | Assessoria de Marketing e Vendas,Agência de Marketing,"R. Sady de Marco, 64d - Jardim Itália, Chapecó - SC, 89802-280",(49) 99921-4188,+55 49 99921-4188,,,"-27.1014196,-52.6228213",5,9,Agencias de publicidade em Chapeco SC,True,False,False,11.5129,0.125,43.0,small
ChIJT6p47TS35JQRF3hOW_FqDVo,https://www.google.com/maps/place/?q=place_id:ChIJT6p47TS35JQRF3hOW_FqDVo,Agência de Tráfego Pago Metadot - Marketing Digital,Agência de marketing digital,"R. Duque de Caxias, 138 - Centro, Chapecó - SC, 89802-420",(41) 99834-6805,+55 41 99834-6805,metadot.com.br,https://metadot.com.br/,"-27.1058356,-52.6153595",5,16,Agencias de publicidade em Chapeco SC,True,True,True,14.1661,0.2222,62.0,medium
ChIJMT_Y8ya05JQRe7SSXeotHGs,https://www.google.com/maps/place/?q=place_id:ChIJMT_Y8ya05JQRe7SSXeotHGs,SOU Comunicação Digital,Agência de Marketing,"R. Euríco Gáspar Dutra, 669 - São Cristóvão, Chapecó - SC, 89803-201",(49) 98804-1565,+55 49 98804-1565,metodoacelera.site,http://metodoacelera.site/lp1/,"-27.092672999999998,-52.628169",5,21,Agencias de publicidade em Chapeco SC,True,True,True,15.4552,0.2917,62.0,medium
ChIJY2q9xIC35JQRya1i9ePK8rs,https://www.google.com/maps/place/?q=place_id:ChIJY2q9xIC35JQRya1i9ePK8rs,Oquíron Digital | Agência Marketing Chapecó,Agência de marketing digital,"Rua Guaporé, 433 - Letra D, Sala 01 - Presidente Médici, Chapecó - SC, 89801-101",(49) 99941-4937,+55 49 99941-4937,oquirondigital.com.br,https://www.oquirondigital.com.br/,"-27.095475099999998,-52.612393",5,9,Agencias de publicidade em Chapeco SC,True,True,True,11.5129,0.125,58.0,medium
ChIJSW6Pc5-25JQRueTV6wzM3hE,https://www.google.com/maps/place/?q=place_id:ChIJSW6Pc5-25JQRueTV6wzM3hE,oalexdigital - Agência de Marketing Digital,Agência de marketing digital,,(49) 99927-7777,+55 49 99927-7777,oalexdigital.com,http://oalexdigital.com/,"-26.8784675,-52.3085105",4.9,72,Agencias de publicidade em Chapeco SC,True,True,True,21.0233,1.0,67.0,medium
ChIJrT_nmwO3n0QRq2fDiF4BHaA,https://www.google.com/maps/place/?q=place_id:ChIJrT_nmwO3n0QRq2fDiF4BHaA,Arroba Comunicação,Agência de publicidade,"Edifício Vértice Office - R. Borges de Medeiros, 897E - Sl 901 - Presidente Médici, Chapecó - SC, 89802-300",(41) 99200-4440,+55 41 99200-4440,arrobapropaganda.com.br,http://www.arrobapropaganda.com.br/,"-27.0952509,-52.6089716",5,7,Agencias de publicidade em Chapeco SC,True,True,True,10.3972,0.0972,58.0,medium
ChIJmdEdQyC05JQRV_Ny_laHmfA,https://www.google.com/maps/place/?q=place_id:ChIJmdEdQyC05JQRV_Ny_laHmfA,neosaga - gestão de marcas,Agência de Marketing,,(49) 99163-7463,+55 49 99163-7463,neosaga.com.br,http://www.neosaga.com.br/,"-14.4095262,-51.3168626",5,22,Agencias de publicidade em Chapeco SC,True,True,True,15.6775,0.3056,62.0,medium
ChIJCZH8mCC05JQRwk8OgETmHds,https://www.google.com/maps/place/?q=place_id:ChIJCZH8mCC05JQRwk8OgETmHds,INDEXCOM,Agência de publicidade,"Edifício Trade Center - Av. Fernando Machado, 593D - Salas 305 e 306 - Centro, Chapecó - SC, 89802-110",(49) 98803-6428,+55 49 98803-6428,indexcom.com.br,http://indexcom.com.br/,"-27.1000822,-52.617874099999995",5,40,Agencias de publicidade em Chapeco SC,True,True,True,18.5679,0.5556,62.0,medium
ChIJif1BfaG25JQRkMJRoHEE7bM,https://www.google.com/maps/place/?q=place_id:ChIJif1BfaG25JQRkMJRoHEE7bM,IMG Brasil,Agência de publicidade,"R. Mal. Floriano Peixoto, 596O - Jardim Itália, Chapecó - SC, 89802-075",(49) 99950-8003,+55 49 99950-8003,,,"-27.105910599999998,-52.620147599999996",5,1,Agencias de publicidade em Chapeco SC,True,False,False,3.4657,0.0139,43.0,small
ChIJD8l9ZkJS-WURBx4f9pIdrfQ,https://www.google.com/maps/place/?q=place_id:ChIJD8l9ZkJS-WURBx4f9pIdrfQ,Betel Produções e Consultoria,Agência de Marketing,"R. Nilso Braun, s/n - Vitório Rosa, Chapecó - SC, 89815-899",(49) 99937-1150,+55 49 99937-1150,betelproducoes.com.br,http://www.betelproducoes.com.br/,"-27.11677,-52.6554339",,52,Agencias de publicidade em Chapeco SC,True,True,True,0.0,0.7222,42.0,small
ChIJ90qrB7C35JQRPvLG9p0TS4U,https://www.google.com/maps/place/?q=place_id:ChIJ90qrB7C35JQRPvLG9p0TS4U,Compasso Propaganda,Agência de publicidade,"E - Edifício Sintraf - Av. Porto Alegre, 223 - Sl 410 - Centro, Chapecó - SC, 89802-130",(49) 99810-3399,+55 49 99810-3399,,,"-27.107375899999997,-52.6170579",5,3,Agencias de publicidade em Chapeco SC,True,False,False,6.9315,0.0417,43.0,small
ChIJoSj98vq15JQR7-NcSYoylaw,https://www.google.com/maps/place/?q=place_id:ChIJoSj98vq15JQR7-NcSYoylaw,Agência Marketing Chapecó,Agência de marketing digital,"R. Mal. Deodoro - Jardim Itália, Chapecó - SC, 89802-141",(49) 98409-1193,+55 49 98409-1193,,,"-27.101467699999997,-52.6194877",4.7,1,Agencias de publicidade em Chapeco SC,True,False,False,3.2578,0.0139,43.0,small
ChIJEeNx0g615JQRmf56F31Guco,https://www.google.com/maps/place/?q=place_id:ChIJEeNx0g615JQRmf56F31Guco,Stratfy Marketing e vendas,Agência de marketing digital,"R. Mal. Deodoro, 299E - Centro - Centro, Chapecó - SC, 89802-112",(49) 99804-7602,+55 49 99804-7602,stratfy.com.br,https://stratfy.com.br/,"-27.101246699999997,-52.618374599999996",4.9,6,Agencias de publicidade em Chapeco SC,True,True,True,9.535,0.0833,58.0,medium
ChIJ_X257pW15JQRK_weDa48LbA,https://www.google.com/maps/place/?q=place_id:ChIJ_X257pW15JQRK_weDa48LbA,Studio de Criação 3B,Agência de publicidade,"Av. Cel. Licínio de Córdova, 504 - Apto 02 - São Cristóvão, Chapecó - SC, 89803-210",(49) 99160-1313,+55 49 99160-1313,,,"-27.092766599999997,-52.627105199999995",5,11,Agencias de publicidade em Chapeco SC,True,False,False,12.4245,0.1528,47.0,small
ChIJw5j4sVguzIgRbXWmdke_ius,https://www.google.com/maps/place/?q=place_id:ChIJw5j4sVguzIgRbXWmdke_ius,UPCORE - Marketing Digital e Publicidade,Agência de marketing digital,,(49) 99155-8743,+55 49 99155-8743,upcore.com.br,https://upcore.com.br/,"-14.4095262,-51.3168626",5,3,Agencias de publicidade em Chapeco SC,True,True,True,6.9315,0.0417,58.0,medium
ChIJEzQ6LEq15JQRHlBRkpkXJvY,https://www.google.com/maps/place/?q=place_id:ChIJEzQ6LEq15JQRHlBRkpkXJvY,Aura Agência de Publicidade e Marketing,Agência de marketing digital,"R. Olávo Bilac, 605-E - São Cristóvão, Chapecó - SC, 89803-100",(49) 92000-6769,+55 49 92000-6769,aurapublicidade.com.br,http://aurapublicidade.com.br/,"-27.0888457,-52.6268326",5,5,Agencias de publicidade em Chapeco SC,True,True,True,8.9588,0.0694,58.0,medium
ChIJ5RFKZKS25JQRKnSzJNTH8pY,https://www.google.com/maps/place/?q=place_id:ChIJ5RFKZKS25JQRKnSzJNTH8pY,"Elo Ideias - Criação de Sites, E-commerces e Soluções em Comunicação Corporativa",Empresa de Software,"R. Marechal José B. Bormann, 939-E - Jardim Itália, Chapecó - SC, 89802-121",(49) 99150-0400,+55 49 99150-0400,eloideias.com.br,http://eloideias.com.br/,"-27.1038471,-52.6242163",4.7,15,Agencias de publicidade em Chapeco SC,True,True,True,13.0312,0.2083,62.0,medium
ChIJySTV-he35JQReyP238OPBb8,https://www.google.com/maps/place/?q=place_id:ChIJySTV-he35JQReyP238OPBb8,MidLed,Agência de publicidade,,,,,,"-27.106637,-52.615413999999994",,,Agencias de publicidade em Chapeco SC,False,False,False,0.0,0.0,0.0,micro
